rep,mode,NKEY,C,commits,sum,lost_updates,fallbacks,fallback_pct,tput_ops_s
1,naive,NKEY=1,C=64,commits=1280000,sum=20000,lost_updates=1260000,fallbacks=0,fallback_pct=0.00,tput_ops_s=3107973
1,detect,NKEY=1,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=1279998,fallback_pct=100.00,tput_ops_s=3108300
1,naive,NKEY=16,C=64,commits=1280000,sum=265077,lost_updates=1014923,fallbacks=0,fallback_pct=0.00,tput_ops_s=3103788
1,detect,NKEY=16,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=1268995,fallback_pct=99.14,tput_ops_s=3110463
1,naive,NKEY=64,C=64,commits=1280000,sum=668125,lost_updates=611875,fallbacks=0,fallback_pct=0.00,tput_ops_s=2843735
1,detect,NKEY=64,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=732975,fallback_pct=57.26,tput_ops_s=3086142
1,naive,NKEY=256,C=64,commits=1280000,sum=1193201,lost_updates=86799,fallbacks=0,fallback_pct=0.00,tput_ops_s=2831756
1,detect,NKEY=256,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=74930,fallback_pct=5.85,tput_ops_s=3087275
1,naive,NKEY=1024,C=64,commits=1280000,sum=1274635,lost_updates=5365,fallbacks=0,fallback_pct=0.00,tput_ops_s=2823448
1,detect,NKEY=1024,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=3085279
1,naive,NKEY=16384,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=2825714
1,detect,NKEY=16384,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=3086903
2,naive,NKEY=1,C=64,commits=1280000,sum=20000,lost_updates=1260000,fallbacks=0,fallback_pct=0.00,tput_ops_s=2828329
2,detect,NKEY=1,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=1279997,fallback_pct=100.00,tput_ops_s=3078022
2,naive,NKEY=16,C=64,commits=1280000,sum=265936,lost_updates=1014064,fallbacks=0,fallback_pct=0.00,tput_ops_s=2824679
2,detect,NKEY=16,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=1272550,fallback_pct=99.42,tput_ops_s=3086736
2,naive,NKEY=64,C=64,commits=1280000,sum=697276,lost_updates=582724,fallbacks=0,fallback_pct=0.00,tput_ops_s=2824074
2,detect,NKEY=64,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=740657,fallback_pct=57.86,tput_ops_s=3083902
2,naive,NKEY=256,C=64,commits=1280000,sum=1224744,lost_updates=55256,fallbacks=0,fallback_pct=0.00,tput_ops_s=2825871
2,detect,NKEY=256,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=55899,fallback_pct=4.37,tput_ops_s=3080408
2,naive,NKEY=1024,C=64,commits=1280000,sum=1275310,lost_updates=4690,fallbacks=0,fallback_pct=0.00,tput_ops_s=2822782
2,detect,NKEY=1024,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=9694,fallback_pct=0.76,tput_ops_s=3081903
2,naive,NKEY=16384,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=2829900
2,detect,NKEY=16384,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=3085750
3,naive,NKEY=1,C=64,commits=1280000,sum=20000,lost_updates=1260000,fallbacks=0,fallback_pct=0.00,tput_ops_s=2820417
3,detect,NKEY=1,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=1279999,fallback_pct=100.00,tput_ops_s=3086434
3,naive,NKEY=16,C=64,commits=1280000,sum=265182,lost_updates=1014818,fallbacks=0,fallback_pct=0.00,tput_ops_s=2821439
3,detect,NKEY=16,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=1269164,fallback_pct=99.15,tput_ops_s=3085220
3,naive,NKEY=64,C=64,commits=1280000,sum=693834,lost_updates=586166,fallbacks=0,fallback_pct=0.00,tput_ops_s=2827404
3,detect,NKEY=64,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=756490,fallback_pct=59.10,tput_ops_s=3084757
3,naive,NKEY=256,C=64,commits=1280000,sum=1217171,lost_updates=62829,fallbacks=0,fallback_pct=0.00,tput_ops_s=2830315
3,detect,NKEY=256,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=54632,fallback_pct=4.27,tput_ops_s=3085158
3,naive,NKEY=1024,C=64,commits=1280000,sum=1279999,lost_updates=1,fallbacks=0,fallback_pct=0.00,tput_ops_s=2824988
3,detect,NKEY=1024,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=3086614
3,naive,NKEY=16384,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=2827516
3,detect,NKEY=16384,C=64,commits=1280000,sum=1280000,lost_updates=0,fallbacks=0,fallback_pct=0.00,tput_ops_s=3087479
