mode,L_us,C,W_us,tput_reqps,p50_us,p99_us,p999_us
busy,20.0,1,2.0,44724,22.3,22.4,23.1
block,20.0,1,2.0,39047,23.8,24.3,25.0
coro,20.0,1,2.0,43466,22.3,22.4,23.2
block,20.0,2,2.0,78052,23.8,24.4,25.3
coro,20.0,2,2.0,86888,22.3,22.4,23.2
block,20.0,4,2.0,156753,23.8,24.5,25.6
coro,20.0,4,2.0,173607,22.3,22.4,23.2
block,20.0,8,2.0,314922,23.5,26.0,28.9
coro,20.0,8,2.0,347230,22.3,22.4,23.2
block,20.0,16,2.0,317113,47.1,48.9,54.3
coro,20.0,16,2.0,457106,37.8,39.3,42.2
block,20.0,32,2.0,314079,94.9,97.5,109.3
coro,20.0,32,2.0,460170,47.0,94.4,97.0
block,20.0,64,2.0,313840,189.8,202.1,225.5
coro,20.0,64,2.0,460189,114.2,230.6,233.4
block,20.0,128,2.0,312437,381.0,404.9,472.9
coro,20.0,128,2.0,459690,248.5,503.7,506.8
block,20.0,256,2.0,311545,763.0,815.2,2256.1
coro,20.0,256,2.0,457103,518.4,1045.2,1056.6
