rep,mode,L_us,C,W_us,tput_reqps,p50_us,p99_us,p999_us
1,block,20.0,1,2.0,41832,23.8,24.1,24.9
1,coro,20.0,1,2.0,43214,22.3,22.4,23.0
1,block,20.0,2,2.0,80259,23.8,24.1,25.2
1,coro,20.0,2,2.0,81919,22.3,22.4,23.4
1,block,20.0,4,2.0,160824,23.8,24.3,25.3
1,coro,20.0,4,2.0,171930,22.3,22.4,23.4
1,block,20.0,8,2.0,324287,23.5,25.1,26.8
1,coro,20.0,8,2.0,344178,22.3,22.4,23.3
1,block,20.0,16,2.0,310974,47.0,48.8,51.1
1,coro,20.0,16,2.0,452796,37.9,39.5,42.9
1,block,20.0,32,2.0,324049,26.8,97.3,100.6
1,coro,20.0,32,2.0,451947,47.5,95.7,98.5
1,block,20.0,64,2.0,322128,190.1,194.8,215.4
1,coro,20.0,64,2.0,451079,113.8,230.3,233.3
1,block,20.0,128,2.0,324703,26.5,386.5,403.1
1,coro,20.0,128,2.0,456869,247.9,501.8,505.3
2,block,20.0,1,2.0,40296,23.8,24.2,25.2
2,coro,20.0,1,2.0,41039,22.3,22.4,23.2
2,block,20.0,2,2.0,80311,23.8,24.1,25.2
2,coro,20.0,2,2.0,85666,22.3,22.4,23.0
2,block,20.0,4,2.0,160450,23.8,24.3,25.2
2,coro,20.0,4,2.0,172234,22.3,22.4,23.1
2,block,20.0,8,2.0,310445,23.5,26.0,26.8
2,coro,20.0,8,2.0,345019,22.3,22.4,23.2
2,block,20.0,16,2.0,327037,26.6,48.2,49.9
2,coro,20.0,16,2.0,451096,38.0,39.5,42.5
2,block,20.0,32,2.0,323383,94.8,97.0,106.8
2,coro,20.0,32,2.0,434704,47.2,94.8,97.2
2,block,20.0,64,2.0,325621,26.5,193.6,197.9
2,coro,20.0,64,2.0,456020,114.0,230.9,233.3
2,block,20.0,128,2.0,322884,380.2,390.1,434.4
2,coro,20.0,128,2.0,450480,250.9,509.0,512.5
3,block,20.0,1,2.0,39849,23.8,24.1,25.4
3,coro,20.0,1,2.0,43054,22.3,22.4,23.2
3,block,20.0,2,2.0,80193,23.8,24.3,25.3
3,coro,20.0,2,2.0,86206,22.3,22.4,23.1
3,block,20.0,4,2.0,153470,23.8,24.2,25.2
3,coro,20.0,4,2.0,172556,22.3,22.4,23.3
3,block,20.0,8,2.0,324430,23.5,25.0,26.7
3,coro,20.0,8,2.0,343819,22.3,22.4,23.1
3,block,20.0,16,2.0,325330,47.0,48.3,50.6
3,coro,20.0,16,2.0,431934,37.8,39.3,42.4
3,block,20.0,32,2.0,324505,26.5,96.9,99.4
3,coro,20.0,32,2.0,451815,47.4,95.2,97.9
3,block,20.0,64,2.0,324060,189.7,194.0,219.1
3,coro,20.0,64,2.0,457243,113.5,230.7,232.3
3,block,20.0,128,2.0,305669,382.7,392.6,489.2
3,coro,20.0,128,2.0,454510,248.0,502.9,505.6
4,block,20.0,1,2.0,40228,23.8,24.2,25.1
4,coro,20.0,1,2.0,43007,22.3,22.4,23.2
4,block,20.0,2,2.0,80147,23.8,24.1,25.2
4,coro,20.0,2,2.0,85320,22.3,22.4,23.3
4,block,20.0,4,2.0,160492,23.8,24.2,25.1
4,coro,20.0,4,2.0,172084,22.3,22.4,23.1
4,block,20.0,8,2.0,324868,23.5,25.0,27.0
4,coro,20.0,8,2.0,329862,22.3,22.4,23.3
4,block,20.0,16,2.0,326431,26.5,47.9,48.8
4,coro,20.0,16,2.0,451658,37.9,39.3,42.4
4,block,20.0,32,2.0,324022,94.7,97.1,99.4
4,coro,20.0,32,2.0,456167,47.1,94.7,97.0
4,block,20.0,64,2.0,307453,190.1,194.3,199.0
4,coro,20.0,64,2.0,450117,115.4,233.4,235.7
4,block,20.0,128,2.0,323098,26.6,388.8,404.5
4,coro,20.0,128,2.0,449585,252.6,510.2,516.8
5,block,20.0,1,2.0,40224,23.8,24.3,25.5
5,coro,20.0,1,2.0,41031,22.3,22.4,23.3
5,block,20.0,2,2.0,80167,23.8,24.5,25.9
5,coro,20.0,2,2.0,86000,22.3,22.4,23.2
5,block,20.0,4,2.0,160527,23.8,24.3,25.4
5,coro,20.0,4,2.0,171747,22.3,22.4,23.1
5,block,20.0,8,2.0,322546,23.5,25.0,26.8
5,coro,20.0,8,2.0,343554,22.3,22.4,23.2
5,block,20.0,16,2.0,325302,46.8,48.3,50.1
5,coro,20.0,16,2.0,451296,37.9,39.5,42.6
5,block,20.0,32,2.0,309418,94.8,97.7,100.5
5,coro,20.0,32,2.0,455623,47.0,94.5,96.9
5,block,20.0,64,2.0,323981,26.6,193.0,201.7
5,coro,20.0,64,2.0,456813,113.3,230.7,232.6
5,block,20.0,128,2.0,323049,380.4,389.5,400.1
5,coro,20.0,128,2.0,434410,248.1,503.3,508.7
