mode,L_us,C,W_us,tput_reqps,p50_us,p99_us,p999_us
busy,1.0,1,2.0,297075,3.2,3.3,4.0
block,1.0,128,2.0,330595,5.8,385.4,388.7
coro,1.0,128,2.0,444119,265.9,272.1,540.6
busy,2.0,1,2.0,229411,4.2,4.4,5.1
block,2.0,128,2.0,315454,379.3,386.7,402.0
coro,2.0,128,2.0,460600,266.2,273.7,540.6
busy,5.0,1,2.0,129618,7.2,7.3,8.2
block,5.0,128,2.0,329332,11.7,385.8,388.6
coro,5.0,128,2.0,442759,262.6,525.8,534.9
busy,10.0,1,2.0,79193,12.2,12.3,13.0
block,10.0,128,2.0,314721,379.5,386.5,403.2
coro,10.0,128,2.0,459931,258.3,520.5,526.3
busy,20.0,1,2.0,42070,22.3,22.3,22.9
block,20.0,128,2.0,326642,26.7,385.1,389.1
coro,20.0,128,2.0,444971,247.7,500.5,505.1
busy,50.0,1,2.0,18558,52.3,52.4,53.1
block,50.0,128,2.0,311378,382.8,389.6,422.0
coro,50.0,128,2.0,460192,218.4,444.1,445.6
busy,100.0,1,2.0,9149,102.3,102.4,103.6
block,100.0,128,2.0,323847,379.4,390.8,393.3
coro,100.0,128,2.0,443575,329.2,346.3,347.8
