rep,mode,L_us,C,W_us,tput_reqps,p50_us,p99_us,p999_us
1,busy,1.0,1,2.0,307598,3.2,3.4,4.1
1,block,1.0,128,2.0,323808,380.0,396.3,427.9
1,coro,1.0,128,2.0,433799,268.2,274.9,541.8
1,busy,2.0,1,2.0,225606,4.3,4.4,5.1
1,block,2.0,128,2.0,327025,8.7,387.2,421.8
1,coro,2.0,128,2.0,455820,266.5,524.9,540.5
1,busy,5.0,1,2.0,132180,7.2,7.4,8.2
1,block,5.0,128,2.0,306717,380.3,403.8,474.6
1,coro,5.0,128,2.0,458439,262.4,525.1,534.5
1,busy,10.0,1,2.0,78240,12.2,12.4,13.2
1,block,10.0,128,2.0,324960,378.1,398.5,437.8
1,coro,10.0,128,2.0,455616,258.2,518.8,526.5
1,busy,20.0,1,2.0,41017,22.3,22.4,22.8
1,block,20.0,128,2.0,325101,26.5,384.9,433.6
1,coro,20.0,128,2.0,456447,247.6,501.4,505.8
1,busy,50.0,1,2.0,18343,52.2,52.4,53.1
1,block,50.0,128,2.0,323621,382.0,394.5,440.1
1,coro,50.0,128,2.0,453058,218.4,444.4,448.5
1,busy,100.0,1,2.0,9381,102.2,102.4,103.4
1,block,100.0,128,2.0,321077,379.0,390.7,440.6
1,coro,100.0,128,2.0,455880,328.9,346.9,353.3
2,busy,1.0,1,2.0,284880,3.2,3.4,4.1
2,block,1.0,128,2.0,329827,5.8,384.0,391.4
2,coro,1.0,128,2.0,456397,266.6,272.7,539.2
2,busy,2.0,1,2.0,226492,4.3,4.3,5.1
2,block,2.0,128,2.0,324197,378.8,387.6,426.5
2,coro,2.0,128,2.0,434748,266.4,525.8,541.3
2,busy,5.0,1,2.0,132686,7.2,7.4,8.0
2,block,5.0,128,2.0,326970,11.6,384.3,389.1
2,coro,5.0,128,2.0,455062,262.4,525.2,534.4
2,busy,10.0,1,2.0,78295,12.2,12.4,13.1
2,block,10.0,128,2.0,307761,379.0,385.8,475.0
2,coro,10.0,128,2.0,457947,258.3,517.9,526.2
2,busy,20.0,1,2.0,43134,22.2,22.4,23.2
2,block,20.0,128,2.0,322376,379.5,385.9,432.0
2,coro,20.0,128,2.0,455476,247.5,500.8,504.7
2,busy,50.0,1,2.0,18184,52.2,52.4,52.8
2,block,50.0,128,2.0,322107,56.5,386.1,432.0
2,coro,50.0,128,2.0,454975,219.0,444.9,446.9
2,busy,100.0,1,2.0,9374,102.2,102.4,103.0
2,block,100.0,128,2.0,305205,381.2,428.6,459.5
2,coro,100.0,128,2.0,454657,335.3,348.7,352.5
3,busy,1.0,1,2.0,297419,3.2,3.4,4.0
3,block,1.0,128,2.0,325644,378.1,386.0,417.5
3,coro,1.0,128,2.0,456743,266.6,273.0,538.9
3,busy,2.0,1,2.0,215988,4.3,4.4,5.0
3,block,2.0,128,2.0,330725,8.7,384.1,389.4
3,coro,2.0,128,2.0,456065,266.1,525.2,538.8
3,busy,5.0,1,2.0,132132,7.3,7.4,7.9
3,block,5.0,128,2.0,323171,379.2,385.5,387.5
3,coro,5.0,128,2.0,437600,262.1,524.9,534.5
3,busy,10.0,1,2.0,78507,12.2,12.4,13.0
3,block,10.0,128,2.0,325892,14.6,385.2,390.6
3,coro,10.0,128,2.0,455533,257.7,516.5,524.8
3,busy,20.0,1,2.0,43073,22.2,22.4,22.7
3,block,20.0,128,2.0,322376,26.5,383.4,387.2
3,coro,20.0,128,2.0,456353,247.3,498.9,504.7
3,busy,50.0,1,2.0,18451,52.2,52.4,52.9
3,block,50.0,128,2.0,320321,381.6,386.6,389.9
3,coro,50.0,128,2.0,435883,218.5,444.4,446.5
3,busy,100.0,1,2.0,9420,102.3,102.4,103.0
3,block,100.0,128,2.0,321063,106.9,390.3,391.7
3,coro,100.0,128,2.0,456485,328.9,346.1,347.7
4,busy,1.0,1,2.0,299994,3.2,3.3,4.0
4,block,1.0,128,2.0,308056,379.3,385.8,435.1
4,coro,1.0,128,2.0,458187,266.5,272.6,538.9
4,busy,2.0,1,2.0,225391,4.3,4.4,5.2
4,block,2.0,128,2.0,324807,378.6,385.6,413.6
4,coro,2.0,128,2.0,455692,265.9,274.6,539.0
4,busy,5.0,1,2.0,126348,7.2,7.4,8.0
4,block,5.0,128,2.0,328065,11.6,384.5,391.9
4,coro,5.0,128,2.0,457740,262.0,525.0,534.1
4,busy,10.0,1,2.0,78941,12.2,12.4,13.1
4,block,10.0,128,2.0,323311,379.8,386.3,390.0
4,coro,10.0,128,2.0,453159,258.2,517.7,525.9
4,busy,20.0,1,2.0,43196,22.2,22.3,22.8
4,block,20.0,128,2.0,322878,378.9,385.5,394.0
4,coro,20.0,128,2.0,456123,247.6,499.9,504.6
4,busy,50.0,1,2.0,17512,52.3,52.4,52.9
4,block,50.0,128,2.0,322556,56.5,385.6,389.2
4,coro,50.0,128,2.0,455661,218.7,444.5,446.3
4,busy,100.0,1,2.0,9406,102.3,102.4,103.4
4,block,100.0,128,2.0,320644,380.8,390.9,397.1
4,coro,100.0,128,2.0,436418,329.0,346.2,348.4
5,busy,1.0,1,2.0,298255,3.2,3.4,4.0
5,block,1.0,128,2.0,331164,5.8,384.6,389.3
5,coro,1.0,128,2.0,457435,266.6,272.6,539.2
5,busy,2.0,1,2.0,225786,4.3,4.4,5.1
5,block,2.0,128,2.0,307918,379.4,386.0,447.8
5,coro,2.0,128,2.0,457205,266.2,273.3,540.2
5,busy,5.0,1,2.0,132461,7.3,7.3,8.0
5,block,5.0,128,2.0,324350,379.2,386.2,390.2
5,coro,5.0,128,2.0,455271,262.4,525.3,534.3
5,busy,10.0,1,2.0,77674,12.2,12.4,13.0
5,block,10.0,128,2.0,330313,14.4,385.0,388.2
5,coro,10.0,128,2.0,456561,258.2,518.7,526.1
5,busy,20.0,1,2.0,43090,22.3,22.4,23.1
5,block,20.0,128,2.0,306939,380.0,385.9,403.7
5,coro,20.0,128,2.0,457369,247.6,500.2,505.3
5,busy,50.0,1,2.0,18412,52.2,52.4,52.9
5,block,50.0,128,2.0,321533,381.5,387.3,417.2
5,coro,50.0,128,2.0,455046,218.5,444.3,446.0
5,busy,100.0,1,2.0,8954,102.3,102.4,103.0
5,block,100.0,128,2.0,322753,106.7,390.1,393.0
5,coro,100.0,128,2.0,456018,329.0,346.4,347.7
6,busy,1.0,1,2.0,298491,3.2,3.3,4.1
6,block,1.0,128,2.0,325287,377.7,383.9,412.3
6,coro,1.0,128,2.0,436119,266.5,273.0,540.6
6,busy,2.0,1,2.0,226616,4.3,4.3,5.1
6,block,2.0,128,2.0,326761,8.8,385.1,388.4
6,coro,2.0,128,2.0,455367,265.9,273.8,538.8
6,busy,5.0,1,2.0,132129,7.2,7.4,8.2
6,block,5.0,128,2.0,319289,379.5,386.1,393.0
6,coro,5.0,128,2.0,457007,262.2,524.9,533.9
6,busy,10.0,1,2.0,78754,12.2,12.4,13.0
6,block,10.0,128,2.0,325034,378.7,385.5,389.3
6,coro,10.0,128,2.0,437169,258.0,518.8,526.0
6,busy,20.0,1,2.0,43132,22.3,22.4,23.0
6,block,20.0,128,2.0,324546,26.6,384.2,387.8
6,coro,20.0,128,2.0,457107,247.3,499.6,504.9
6,busy,50.0,1,2.0,18357,52.3,52.4,53.4
6,block,50.0,128,2.0,305752,382.3,387.9,477.1
6,coro,50.0,128,2.0,456905,218.4,444.2,445.6
6,busy,100.0,1,2.0,9368,102.3,102.4,103.7
6,block,100.0,128,2.0,320256,379.9,391.1,396.6
6,coro,100.0,128,2.0,459247,329.0,346.1,347.5
7,busy,1.0,1,2.0,285072,3.2,3.4,4.1
7,block,1.0,128,2.0,329609,5.8,383.9,387.7
7,coro,1.0,128,2.0,455945,266.5,272.6,539.4
7,busy,2.0,1,2.0,227089,4.2,4.3,5.1
7,block,2.0,128,2.0,322742,379.9,386.2,389.1
7,coro,2.0,128,2.0,452062,265.5,525.5,538.6
7,busy,5.0,1,2.0,131993,7.3,7.4,8.1
7,block,5.0,128,2.0,327179,375.5,383.7,388.6
7,coro,5.0,128,2.0,458135,262.0,524.9,533.9
7,busy,10.0,1,2.0,74917,12.2,12.4,12.9
7,block,10.0,128,2.0,327427,17.4,383.5,388.7
7,coro,10.0,128,2.0,454751,258.2,518.1,526.1
7,busy,20.0,1,2.0,43088,22.2,22.4,22.8
7,block,20.0,128,2.0,321799,379.9,387.1,392.6
7,coro,20.0,128,2.0,435988,247.6,499.5,505.3
7,busy,50.0,1,2.0,18315,52.3,52.4,52.9
7,block,50.0,128,2.0,320682,56.7,387.1,392.1
7,coro,50.0,128,2.0,455319,218.4,444.1,445.8
7,busy,100.0,1,2.0,9389,102.3,102.4,103.0
7,block,100.0,128,2.0,306688,381.3,391.2,487.4
7,coro,100.0,128,2.0,457407,328.9,346.2,347.3
8,busy,1.0,1,2.0,300121,3.2,3.3,4.1
8,block,1.0,128,2.0,325409,379.7,386.4,390.8
8,coro,1.0,128,2.0,455469,266.6,272.6,540.0
8,busy,2.0,1,2.0,222800,4.2,4.3,5.0
8,block,2.0,128,2.0,327873,8.7,385.2,389.0
8,coro,2.0,128,2.0,457511,266.0,525.3,536.7
8,busy,5.0,1,2.0,132111,7.3,7.4,8.0
8,block,5.0,128,2.0,308551,379.5,386.1,396.1
8,coro,5.0,128,2.0,457956,262.0,524.7,533.6
8,busy,10.0,1,2.0,78180,12.2,12.4,13.1
8,block,10.0,128,2.0,327588,376.4,384.2,387.4
8,coro,10.0,128,2.0,455514,258.2,518.0,525.9
8,busy,20.0,1,2.0,41110,22.3,22.4,23.0
8,block,20.0,128,2.0,326089,26.5,384.0,389.2
8,coro,20.0,128,2.0,456469,247.3,499.0,504.7
8,busy,50.0,1,2.0,18333,52.2,52.4,52.8
8,block,50.0,128,2.0,319809,382.2,387.3,397.8
8,coro,50.0,128,2.0,435855,218.2,441.9,445.7
8,busy,100.0,1,2.0,9383,102.3,102.4,102.9
8,block,100.0,128,2.0,320621,108.0,390.7,398.4
8,coro,100.0,128,2.0,456313,328.9,346.1,351.5
