rep,mode,L_us,C,W_us,tput_reqps,p50_us,p99_us,p999_us
1,busy,20.0,1,0.5,48106,20.7,20.9,21.6
1,block,20.0,128,0.5,647284,23.7,202.0,212.6
1,coro,20.0,128,0.5,1622368,56.1,115.9,122.5
1,busy,20.0,1,1.0,43648,21.2,21.4,22.1
1,block,20.0,128,1.0,496387,24.6,264.5,275.8
1,coro,20.0,128,1.0,877966,119.3,242.9,249.1
1,busy,20.0,1,2.0,43333,22.3,22.4,23.2
1,block,20.0,128,2.0,321552,379.6,390.0,425.8
1,coro,20.0,128,2.0,435477,247.7,500.7,505.6
1,busy,20.0,1,4.0,39595,24.3,24.4,25.1
1,block,20.0,128,4.0,190964,29.9,655.9,715.5
1,coro,20.0,128,4.0,232603,506.6,1014.4,1017.9
1,busy,20.0,1,8.0,33843,28.3,28.4,29.0
1,block,20.0,128,8.0,101498,1150.0,1157.8,51127.4
1,coro,20.0,128,8.0,117615,1016.1,2032.6,2046.5
1,busy,20.0,1,16.0,26392,36.3,36.4,37.0
1,block,20.0,128,16.0,56283,2175.3,2187.4,36177.7
1,coro,20.0,128,16.0,59539,2032.1,4064.3,42178.6
2,busy,20.0,1,0.5,45638,20.7,20.9,21.7
2,block,20.0,128,0.5,651545,23.5,200.9,210.2
2,coro,20.0,128,0.5,1623375,55.4,115.2,122.0
2,busy,20.0,1,1.0,45915,21.2,21.4,22.2
2,block,20.0,128,1.0,450687,260.6,268.9,316.8
2,coro,20.0,128,1.0,875438,119.4,243.2,249.7
2,busy,20.0,1,2.0,43432,22.2,22.4,22.8
2,block,20.0,128,2.0,323359,378.9,388.5,454.6
2,coro,20.0,128,2.0,456222,247.7,500.5,505.0
2,busy,20.0,1,4.0,37786,24.3,24.4,25.2
2,block,20.0,128,4.0,190860,29.9,654.7,723.4
2,coro,20.0,128,4.0,232326,506.7,1014.4,1017.6
2,busy,20.0,1,8.0,34045,28.3,28.4,29.2
2,block,20.0,128,8.0,106488,1150.1,1159.9,33337.0
2,coro,20.0,128,8.0,112548,1016.1,2032.7,43153.7
2,busy,20.0,1,16.0,26408,36.3,36.4,37.2
2,block,20.0,128,16.0,56850,50.8,2182.3,26973.7
2,coro,20.0,128,16.0,59457,2032.2,4064.3,42968.2
3,busy,20.0,1,0.5,46191,20.7,20.8,22.0
3,block,20.0,128,0.5,645764,23.4,196.2,204.5
3,coro,20.0,128,0.5,1619951,55.4,114.8,121.5
3,busy,20.0,1,1.0,45468,21.3,21.4,22.3
3,block,20.0,128,1.0,478399,260.2,267.0,274.3
3,coro,20.0,128,1.0,837607,119.3,242.9,249.2
3,busy,20.0,1,2.0,43262,22.3,22.4,22.9
3,block,20.0,128,2.0,323723,26.6,388.7,407.4
3,coro,20.0,128,2.0,455735,247.7,501.1,505.2
3,busy,20.0,1,4.0,39669,24.2,24.4,25.2
3,block,20.0,128,4.0,178902,652.0,657.5,23558.2
3,coro,20.0,128,4.0,233854,506.4,1014.1,1017.1
3,busy,20.0,1,8.0,33851,28.3,28.4,29.7
3,block,20.0,128,8.0,106727,1148.5,1158.2,33338.2
3,coro,20.0,128,8.0,117835,1016.1,2032.4,2038.0
3,busy,20.0,1,16.0,25246,36.3,36.4,37.6
3,block,20.0,128,16.0,56720,50.7,2183.3,32990.4
3,coro,20.0,128,16.0,59354,2032.1,4064.4,44672.3
4,busy,20.0,1,0.5,46267,20.7,20.8,21.6
4,block,20.0,128,0.5,643076,189.4,202.7,210.7
4,coro,20.0,128,0.5,1600369,55.9,115.0,121.9
4,busy,20.0,1,1.0,45546,21.2,21.4,22.2
4,block,20.0,128,1.0,487304,26.8,265.6,271.0
4,coro,20.0,128,1.0,879545,119.0,241.7,247.0
4,busy,20.0,1,2.0,41408,22.2,22.3,22.8
4,block,20.0,128,2.0,324413,26.5,385.2,400.9
4,coro,20.0,128,2.0,457835,247.4,497.5,504.9
4,busy,20.0,1,4.0,39459,24.3,24.4,24.9
4,block,20.0,128,4.0,188288,651.8,656.8,707.9
4,coro,20.0,128,4.0,221825,506.3,1013.9,1022.9
4,busy,20.0,1,8.0,33957,28.3,28.4,29.0
4,block,20.0,128,8.0,106692,35.7,1157.2,27621.0
4,coro,20.0,128,8.0,117706,1016.1,2032.6,2038.7
4,busy,20.0,1,16.0,26569,36.3,36.4,37.4
4,block,20.0,128,16.0,53645,2175.8,2188.1,52155.7
4,coro,20.0,128,16.0,59487,2032.1,4064.4,43397.8
5,busy,20.0,1,0.5,46192,20.7,20.8,21.5
5,block,20.0,128,0.5,646208,188.9,203.2,212.8
5,coro,20.0,128,0.5,1621059,56.1,115.6,122.5
5,busy,20.0,1,1.0,44709,21.2,21.4,22.6
5,block,20.0,128,1.0,491530,24.7,265.6,270.7
5,coro,20.0,128,1.0,877198,119.4,243.4,249.7
5,busy,20.0,1,2.0,43322,22.2,22.4,23.2
5,block,20.0,128,2.0,306963,380.2,388.2,403.1
5,coro,20.0,128,2.0,457080,247.1,499.6,504.0
5,busy,20.0,1,4.0,39617,24.3,24.4,25.2
5,block,20.0,128,4.0,188670,651.2,656.6,717.9
5,coro,20.0,128,4.0,232077,506.7,1014.3,1016.9
5,busy,20.0,1,8.0,32431,28.3,28.4,29.2
5,block,20.0,128,8.0,107234,35.6,1157.3,31328.0
5,coro,20.0,128,8.0,118019,1016.1,2032.6,2040.5
5,busy,20.0,1,16.0,26434,36.3,36.4,37.5
5,block,20.0,128,16.0,56299,2175.7,2185.6,28952.7
5,coro,20.0,128,16.0,56633,2032.2,4064.7,52034.7
6,busy,20.0,1,0.5,46311,20.8,20.8,21.6
6,block,20.0,128,0.5,652902,23.6,202.1,211.2
6,coro,20.0,128,0.5,1620883,55.4,114.9,121.1
6,busy,20.0,1,1.0,45618,21.2,21.4,22.3
6,block,20.0,128,1.0,493216,24.7,263.8,271.3
6,coro,20.0,128,1.0,877536,119.3,243.0,249.9
6,busy,20.0,1,2.0,43345,22.2,22.4,22.9
6,block,20.0,128,2.0,322839,379.6,387.4,396.1
6,coro,20.0,128,2.0,436303,247.7,500.8,504.9
6,busy,20.0,1,4.0,39845,24.3,24.4,25.5
6,block,20.0,128,4.0,190370,30.0,655.6,711.7
6,coro,20.0,128,4.0,232126,506.5,1014.1,1017.5
6,busy,20.0,1,8.0,33971,28.3,28.4,29.1
6,block,20.0,128,8.0,101722,1150.5,1158.9,51135.0
6,coro,20.0,128,8.0,117950,1015.9,2032.3,2037.1
6,busy,20.0,1,16.0,26437,36.3,36.4,36.8
6,block,20.0,128,16.0,56471,2174.6,2183.0,36051.3
